Country,Dimension,Factor,Indicator,Indicator_Name,Year,Nivel_de_madurez_texto_EN
Mexico,Legal Frameworks,Cybersecurity Legal Frameworks,Substantive cybercrime law,Cybersecurity Legal Frameworks: Substantive cybercrime law,2015,Established
Nicaragua,Legal Frameworks,Cybersecurity Legal Frameworks,Substantive cybercrime law,Cybersecurity Legal Frameworks: Substantive cybercrime law,2015,Startup
Panama,Legal Frameworks,Cybersecurity Legal Frameworks,Substantive cybercrime law,Cybersecurity Legal Frameworks: Substantive cybercrime law,2015,Established
Paraguay,Legal Frameworks,Cybersecurity Legal Frameworks,Substantive cybercrime law,Cybersecurity Legal Frameworks: Substantive cybercrime law,2015,Established
Peru,Legal Frameworks,Cybersecurity Legal Frameworks,Substantive cybercrime law,Cybersecurity Legal Frameworks: Substantive cybercrime law,2015,Established
Dominican Republic,Legal Frameworks,Cybersecurity Legal Frameworks,Substantive cybercrime law,Cybersecurity Legal Frameworks: Substantive cybercrime law,2015,Dynamic
Saint Kitts and Nevis,Legal Frameworks,Cybersecurity Legal Frameworks,Substantive cybercrime law,Cybersecurity Legal Frameworks: Substantive cybercrime law,2015,Established
Saint Vincent and the Grenadines,Legal Frameworks,Cybersecurity Legal Frameworks,Substantive cybercrime law,Cybersecurity Legal Frameworks: Substantive cybercrime law,2015,Established
Saint Lucia,Legal Frameworks,Cybersecurity Legal Frameworks,Substantive cybercrime law,Cybersecurity Legal Frameworks: Substantive cybercrime law,2015,Formative
Suriname,Legal Frameworks,Cybersecurity Legal Frameworks,Substantive cybercrime law,Cybersecurity Legal Frameworks: Substantive cybercrime law,2015,Established
Trinidad and Tobago,Legal Frameworks,Cybersecurity Legal Frameworks,Substantive cybercrime law,Cybersecurity Legal Frameworks: Substantive cybercrime law,2015,Established
Uruguay,Legal Frameworks,Cybersecurity Legal Frameworks,Substantive cybercrime law,Cybersecurity Legal Frameworks: Substantive cybercrime law,2015,Startup
Venezuela,Legal Frameworks,Cybersecurity Legal Frameworks,Substantive cybercrime law,Cybersecurity Legal Frameworks: Substantive cybercrime law,2015,Established
Antigua and Barbuda,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Startup
Argentina,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Established
Bahamas,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Startup
Barbados,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Startup
Belize,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Startup
Bolivia,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Formative
Brazil,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Stategic
Chile,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Stategic
Colombia,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Established
Costa Rica,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Established
Dominica,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Startup
Ecuador,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Formative
El Salvador,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Formative
Grenada,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Formative
Honduras,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Startup
Guatemala,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Startup
Guyana,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Startup
Haiti,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Startup
Honduras,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Startup
Jamaica,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Established
Mexico,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Formative
Nicaragua,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Established
Panama,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Formative
Paraguay,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Formative
Peru,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Formative
Dominican Republic,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Dynamic
Saint Kitts and Nevis,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Formative
Saint Vincent and the Grenadines,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Startup
Saint Lucia,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Startup
Suriname,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Startup
Peru,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Formative
Trinidad and Tobago,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Established
Uruguay,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Formative
Venezuela,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Formative
Venezuela,Legal Frameworks,Cybersecurity Legal Frameworks,Procedural cybercrime law,Cybersecurity Legal Frameworks: Procedural cybercrime law,2015,Startup
Antigua and Barbuda,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Formative
Argentina,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Established
Bahamas,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Formative
Barbados,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Formative
Belize,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Formative
Bolivia,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Formative
Brazil,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Stategic
Chile,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Established
Colombia,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Established
Costa Rica,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Established
Dominica,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Formative
Ecuador,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Formative
El Salvador,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Formative
Grenada,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Formative
Guatemala,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Formative
Guyana,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Formative
Dominican Republic,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Dynamic
Saint Kitts and Nevis,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Formative
Saint Vincent and the Grenadines,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Startup
Saint Lucia,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Startup
Suriname,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Formative
Trinidad and Tobago,Legal Frameworks,Legal Investigation,Law enforcement ,Legal Investigation: Law enforcement ,2015,Stategic
Antigua and Barbuda,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Argentina,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Established
Bahamas,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Barbados,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Belize,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Startup
Bolivia,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Brazil,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Chile,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Established
Colombia,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Costa Rica,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Dominica,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Ecuador,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
El Salvador,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Grenada,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Startup
Guatemala,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Startup
Guyana,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Startup
Haiti,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Honduras,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Startup
Jamaica,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Mexico,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Nicaragua,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Startup
Panama,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Paraguay,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Established
Peru,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Dominican Republic,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Established
Saint Kitts and Nevis,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Startup
Saint Vincent and the Grenadines,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Startup
Saint Lucia,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Startup
Suriname,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Startup
Trinidad and Tobago,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Uruguay,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Venezuela,Legal Frameworks,Legal Investigation,Prosecution services,Legal Investigation: Prosecution services,2015,Formative
Antigua and Barbuda,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Argentina,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Barbados,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Belize,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Bolivia,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Startup
Brazil,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Chile,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Colombia,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Costa Rica,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Dominica,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Ecuador,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
El Salvador,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Grenada,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Guatemala,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Guyana,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Startup
Haiti,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Startup
Honduras,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Startup
Jamaica,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Mexico,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Nicaragua,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Startup
Saint Kitts and Nevis,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Saint Vincent and the Grenadines,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Saint Lucia,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Suriname,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Trinidad and Tobago,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Uruguay,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Venezuela,Legal Frameworks,Legal Investigation,Courts,Legal Investigation: Courts,2015,Formative
Antigua and Barbuda,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Argentina,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Bahamas,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Barbados,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Belize,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Bolivia,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Brazil,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Chile,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Colombia,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Costa Rica,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Dominica,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Ecuador,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
El Salvador,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Grenada,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Guatemala,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Guyana,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Haiti,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Honduras,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Jamaica,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Mexico,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Nicaragua,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Panama,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Paraguay,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Peru,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Dominican Republic,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Saint Kitts and Nevis,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Saint Vincent and the Grenadines,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Saint Lucia,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Honduras,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Suriname,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Trinidad and Tobago,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Established
Uruguay,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Venezuela,Legal Frameworks,Responsible Reporting,Responsible disclosure,Responsible Reporting: Responsible disclosure,2015,Startup
Antigua and Barbuda,Technologies,Adherence to Standards,Implementation of standards and minimal acceptable practices,Adherence to Standards: Implementation of standards and minimal acceptable practices,2015,Startup
Argentina,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Bahamas,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Startup
Barbados,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Startup
Belize,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Bolivia,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Brazil,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Chile,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Colombia,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Costa Rica,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Dominica,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Ecuador,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Established
Jamaica,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
El Salvador,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Grenada,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Startup
Guatemala,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Startup
Guyana,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Startup
Haiti,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Startup
Honduras,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Startup
Jamaica,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Mexico,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Nicaragua,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Startup
Panama,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Paraguay,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Peru,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Dominican Republic,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Saint Kitts and Nevis,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Saint Vincent and the Grenadines,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Startup
Saint Lucia,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Startup
Mexico,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Formative
Suriname,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Startup
Trinidad and Tobago,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Uruguay,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Formative
Venezuela,Technologies,Adherence to Standards,Implementation of standards,Adherence to Standards: Implementation of standards,2015,Startup
Antigua and Barbuda,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Argentina,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Formative
Bahamas,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Barbados,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Belize,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Bolivia,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Brazil,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Formative
Chile,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Formative
Colombia,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Formative
Costa Rica,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Formative
Dominica,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Ecuador,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
El Salvador,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Grenada,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Guatemala,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Guyana,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Haiti,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Nicaragua,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Formative
Panama,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Paraguay,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Peru,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Dominican Republic,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Saint Kitts and Nevis,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Saint Vincent and the Grenadines,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Saint Lucia,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Suriname,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Trinidad and Tobago,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Uruguay,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Established
Venezuela,Technologies,Adherence to Standards,Procurement,Adherence to Standards: Procurement,2015,Startup
Antigua and Barbuda,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Argentina,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Formative
Bahamas,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Barbados,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Belize,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Formative
Bolivia,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Brazil,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Formative
Chile,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Formative
Colombia,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Formative
Costa Rica,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Formative
Dominica,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Ecuador,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
El Salvador,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Grenada,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Guatemala,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Guyana,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Haiti,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Honduras,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Jamaica,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Mexico,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Established
Nicaragua,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Panama,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
Paraguay,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Formative
Peru,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Formative
Dominican Republic,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Formative
Saint Kitts and Nevis,Technologies,Adherence to Standards,Software development,Adherence to Standards: Software development,2015,Startup
